title,genres_clean,overview,popularity,combined_features
Falsa identidad,Crime TV Shows Spanish-Language TV,Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.,80.0,Falsa identidad Crime TV Shows Spanish-Language TV Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband. Netflix
Intrusion,Thrillers,"After a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning.",81.5,"Intrusion Thrillers After a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning. Netflix"
Jaguar,International TV Shows Spanish-Language TV,"In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII.",81.5,"Jaguar International TV Shows Spanish-Language TV In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII. Netflix"
Monsters Inside: The 24 Faces of Billy Milligan,Crime TV Shows Docuseries International,"In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America.",81.5,"Monsters Inside: The 24 Faces of Billy Milligan Crime TV Shows Docuseries International In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America. Netflix"
Resurrection: Ertugrul,International TV Shows TV Action,"When a good deed unwittingly endangers his clan, a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land.",77.0,"Resurrection: Ertugrul International TV Shows TV Action When a good deed unwittingly endangers his clan, a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land. Netflix"
Avvai Shanmughi,Comedies International Movies,"Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her.",44.0,"Avvai Shanmughi Comedies International Movies Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her. Netflix"
Go! Go! Cory Carson: Chrissy Takes the Wheel,Children Family Movies,"From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town!",81.5,"Go! Go! Cory Carson: Chrissy Takes the Wheel Children Family Movies From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town! Netflix"
Jeans,Comedies International Movies Romantic Movies,"When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing.",47.0,"Jeans Comedies International Movies Romantic Movies When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing. Netflix"
Love on the Spectrum,Docuseries International TV Shows Reality,"Finding love can be hard for anyone. For young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated.",81.5,"Love on the Spectrum Docuseries International TV Shows Reality Finding love can be hard for anyone. For young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated. Netflix"
Minsara Kanavu,Comedies International Movies Music Musicals,A tangled love triangle ensues when a man falls for a woman studying to become a nun — and she falls for the friend he enlists to help him pursue her.,45.5,Minsara Kanavu Comedies International Movies Music Musicals A tangled love triangle ensues when a man falls for a woman studying to become a nun — and she falls for the friend he enlists to help him pursue her. Netflix
Grown Ups,Comedies,"Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid.",65.0,"Grown Ups Comedies Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid. Netflix"
Dark Skies,Horror Movies Sci-Fi Fantasy,"A family’s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat.",69.5,"Dark Skies Horror Movies Sci-Fi Fantasy A family’s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat. Netflix"
Paranoia,Thrillers,"Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor.",69.5,"Paranoia Thrillers Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor. Netflix"
Ankahi Kahaniya,Dramas Independent Movies International Movies,"As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing.",81.5,"Ankahi Kahaniya Dramas Independent Movies International Movies As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing. Netflix"
Chicago Party Aunt,TV Comedies,Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood — and a soft spot for her soul-searching nephew.,81.5,Chicago Party Aunt TV Comedies Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood — and a soft spot for her soul-searching nephew. Netflix
Sex Education,British TV Shows International TV,"Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic.",80.0,"Sex Education British TV Shows International TV Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic. Netflix"
Squid Game,International TV Shows TV Dramas,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits — with deadly high stakes.",81.5,"Squid Game International TV Shows TV Dramas Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits — with deadly high stakes. Netflix"
Tayo and Little Wizards,Kids' TV,Tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone.,80.0,Tayo and Little Wizards Kids' TV Tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone. Netflix
The Father Who Moves Mountains,Dramas International Movies Thrillers,"When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing — and risk everything — to find him.",81.5,"The Father Who Moves Mountains Dramas International Movies Thrillers When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing — and risk everything — to find him. Netflix"
The Stronghold,Action Adventure Dramas International Movies,"Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask.",81.5,"The Stronghold Action Adventure Dramas International Movies Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask. Netflix"
Angry Birds,Kids' TV TV Comedies,"Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal.",77.0,"Angry Birds Kids' TV TV Comedies Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal. Netflix"
Birth of the Dragon,Action Adventure Dramas,"A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events.",75.5,"Birth of the Dragon Action Adventure Dramas A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events. Netflix"
Chhota Bheem,Kids' TV,"A brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil.",81.5,"Chhota Bheem Kids' TV A brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil. Netflix"
He-Man and the Masters of the Universe,Kids' TV TV Sci-Fi Fantasy,Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull — and their destiny to defend Eternia from sinister Skeletor.,81.5,He-Man and the Masters of the Universe Kids' TV TV Sci-Fi Fantasy Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull — and their destiny to defend Eternia from sinister Skeletor. Netflix
Jaws,Action Adventure Classic Movies Dramas,"When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast.",12.5,"Jaws Action Adventure Classic Movies Dramas When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast. Netflix"
Jaws 2,Dramas Horror Movies Thrillers,"Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white.",17.0,"Jaws 2 Dramas Horror Movies Thrillers Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white. Netflix"
Jaws 3,Action Adventure Horror Movies Thrillers,"After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood.",24.5,"Jaws 3 Action Adventure Horror Movies Thrillers After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood. Netflix"
Jaws: The Revenge,Action Adventure Horror Movies Thrillers,"After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean – but a great white shark follows her there.",30.5,"Jaws: The Revenge Action Adventure Horror Movies Thrillers After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean – but a great white shark follows her there. Netflix"
My Heroes Were Cowboys,Documentaries,"Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen.",81.5,"My Heroes Were Cowboys Documentaries Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen. Netflix"
Safe House,Action Adventure,Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.,68.0,Safe House Action Adventure Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location. Netflix
The Smart Money Woman,International TV Shows Romantic TV,"Five glamorous millennials strive for success as they juggle careers, finances, love and friendships. Based on Arese Ugwu's 2016 best-selling novel.",80.0,"The Smart Money Woman International TV Shows Romantic TV Five glamorous millennials strive for success as they juggle careers, finances, love and friendships. Based on Arese Ugwu's 2016 best-selling novel. Netflix"
Training Day,Dramas Thrillers,A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice.,51.5,Training Day Dramas Thrillers A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice. Netflix
Castle and Castle,International TV Shows TV Dramas,"A pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage.",81.5,"Castle and Castle International TV Shows TV Dramas A pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage. Netflix"
Dharmakshetra,International TV Shows TV Dramas,"After the ancient Great War, the god Chitragupta oversees a trial to determine who were the battle's true heroes and villains.",71.0,"Dharmakshetra International TV Shows TV Dramas After the ancient Great War, the god Chitragupta oversees a trial to determine who were the battle's true heroes and villains. Netflix"
InuYasha the Movie 2: The Castle Beyond the Looking Glass,Action Adventure Anime Features International,"With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy.",53.0,"InuYasha the Movie 2: The Castle Beyond the Looking Glass Action Adventure Anime Features International With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy. Netflix"
InuYasha the Movie 3: Swords of an Honorable Ruler,Action Adventure Anime Features International,The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.,54.5,InuYasha the Movie 3: Swords of an Honorable Ruler Action Adventure Anime Features International The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened. Netflix
InuYasha the Movie 4: Fire on the Mystic Island,Action Adventure Anime Features International,"Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo.",56.0,"InuYasha the Movie 4: Fire on the Mystic Island Action Adventure Anime Features International Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo. Netflix"
InuYasha the Movie: Affections Touching Across Time,Action Adventure Anime Features International,"A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy.",51.5,"InuYasha the Movie: Affections Touching Across Time Action Adventure Anime Features International A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy. Netflix"
Nailed It,Reality TV,"Home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess.",81.5,"Nailed It Reality TV Home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess. Netflix"
Naruto Shippuden the Movie: Blood Prison,Action Adventure Anime Features International,"Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed.",66.5,"Naruto Shippuden the Movie: Blood Prison Action Adventure Anime Features International Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed. Netflix"
Naruto Shippûden the Movie: Bonds,Action Adventure Anime Features International,"When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet.",62.0,"Naruto Shippûden the Movie: Bonds Action Adventure Anime Features International When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet. Netflix"
Naruto Shippûden the Movie: The Will of Fire,Action Adventure Anime Features International,"When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land.",63.5,"Naruto Shippûden the Movie: The Will of Fire Action Adventure Anime Features International When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land. Netflix"
Naruto Shippuden: The Movie,Action Adventure Anime Features International,"The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon – but to do so, he must die.",60.5,"Naruto Shippuden: The Movie Action Adventure Anime Features International The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon – but to do so, he must die. Netflix"
Naruto Shippuden: The Movie: The Lost Tower,Action Adventure Anime Features International,"When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil.",65.0,"Naruto Shippuden: The Movie: The Lost Tower Action Adventure Anime Features International When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil. Netflix"
Naruto the Movie 2: Legend of the Stone of Gelel,Action Adventure Anime Features International,"While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin.",57.5,"Naruto the Movie 2: Legend of the Stone of Gelel Action Adventure Anime Features International While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin. Netflix"
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Action Adventure Anime Features International,"Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom.",59.0,"Naruto the Movie 3: Guardians of the Crescent Moon Kingdom Action Adventure Anime Features International Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom. Netflix"
Naruto the Movie: Ninja Clash in the Land of Snow,Action Adventure Anime Features International,"Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess.",56.0,"Naruto the Movie: Ninja Clash in the Land of Snow Action Adventure Anime Features International Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess. Netflix"
Nightbooks,Children Family Movies,Scary story fan Alex must tell a spine-tingling tale every night — or stay trapped with his new friend in a wicked witch's magical apartment forever.,81.5,Nightbooks Children Family Movies Scary story fan Alex must tell a spine-tingling tale every night — or stay trapped with his new friend in a wicked witch's magical apartment forever. Netflix
Numberblocks,Kids' TV,"In a place called Numberland, math adds up to tons of fun when a group of cheerful blocks work, play and sing together.",81.5,"Numberblocks Kids' TV In a place called Numberland, math adds up to tons of fun when a group of cheerful blocks work, play and sing together. Netflix"
Raja Rasoi Aur Anya Kahaniyan,Docuseries International TV Shows,"Explore the history and flavors of regional Indian cuisine, from traditional Kashmiri feasts to the vegetarian dishes of Gujarat.",71.0,"Raja Rasoi Aur Anya Kahaniyan Docuseries International TV Shows Explore the history and flavors of regional Indian cuisine, from traditional Kashmiri feasts to the vegetarian dishes of Gujarat. Netflix"
Saved by the Bell,Kids' TV TV Comedies,"From middle school to college, best friends Zack, Kelly, Slater, Jessie, Screech and Lisa take on the highs and lows of life together in this hit series.",41.0,"Saved by the Bell Kids' TV TV Comedies From middle school to college, best friends Zack, Kelly, Slater, Jessie, Screech and Lisa take on the highs and lows of life together in this hit series. Netflix"
Schumacher,Documentaries International Movies Sports Movies,"Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher.",81.5,"Schumacher Documentaries International Movies Sports Movies Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher. Netflix"
Stories by Rabindranath Tagore,International TV Shows TV Dramas,The writings of Nobel Prize winner Rabindranath Tagore come to life in this collection of tales set in early-20th-century Bengal.,72.5,Stories by Rabindranath Tagore International TV Shows TV Dramas The writings of Nobel Prize winner Rabindranath Tagore come to life in this collection of tales set in early-20th-century Bengal. Netflix
Too Hot To Handle: Latino,International TV Shows Reality TV,"On this reality show, singles from Latin America and Spain are challenged to give up sex. But here, abstinence comes with a silver lining: US$100,000.",81.5,"Too Hot To Handle: Latino International TV Shows Reality TV On this reality show, singles from Latin America and Spain are challenged to give up sex. But here, abstinence comes with a silver lining: US$100,000. Netflix"
A StoryBots Space Adventure,Children Family Movies,Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids' questions about space.,81.5,A StoryBots Space Adventure Children Family Movies Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids' questions about space. Netflix
Jack Whitehall: Travels with My Father,British TV Shows Docuseries International,"Jovial comic Jack Whitehall invites his stuffy father, Michael, to travel with him through Southeast Asia in an attempt to strengthen their bond.",81.5,"Jack Whitehall: Travels with My Father British TV Shows Docuseries International Jovial comic Jack Whitehall invites his stuffy father, Michael, to travel with him through Southeast Asia in an attempt to strengthen their bond. Netflix"
King of Boys,Dramas International Movies,"When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything.",77.0,"King of Boys Dramas International Movies When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything. Netflix"
The World's Most Amazing Vacation Rentals,Reality TV,"With an eye for every budget, three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series.",81.5,"The World's Most Amazing Vacation Rentals Reality TV With an eye for every budget, three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series. Netflix"
You vs. Wild: Out Cold,Children Family Movies,"After a plane crash leaves Bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure.",81.5,"You vs. Wild: Out Cold Children Family Movies After a plane crash leaves Bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure. Netflix"
Yowamushi Pedal,Anime Series International TV Shows,"A timid, anime-loving teen gets drawn into a school cycling club, where his new friends help him face tough challenges to develop his racing talent.",69.5,"Yowamushi Pedal Anime Series International TV Shows A timid, anime-loving teen gets drawn into a school cycling club, where his new friends help him face tough challenges to develop his racing talent. Netflix"
Little Singham - Black Shadow,Children Family Movies Comedies,Kid cop Little Singham loses all his superpowers while trying to stop the demon Kaal’s new evil plans! Can his inner strength help him defeat the enemy?,81.5,Little Singham - Black Shadow Children Family Movies Comedies Kid cop Little Singham loses all his superpowers while trying to stop the demon Kaal’s new evil plans! Can his inner strength help him defeat the enemy? Netflix
Tughlaq Durbar,Comedies Dramas International Movies,A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.,80.0,Tughlaq Durbar Comedies Dramas International Movies A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move. Netflix
Tughlaq Durbar (Telugu),Comedies Dramas International Movies,A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.,81.5,Tughlaq Durbar (Telugu) Comedies Dramas International Movies A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move. Netflix
Firedrake the Silver Dragon,Children Family Movies,"When his home is threatened by humans, a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free.",81.5,"Firedrake the Silver Dragon Children Family Movies When his home is threatened by humans, a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free. Netflix"
Kate,Action Adventure,"Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge.",81.5,"Kate Action Adventure Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge. Netflix"
Lucifer,Crime TV Shows TV Comedies,"Bored with being the Lord of Hell, the devil relocates to Los Angeles, where he opens a nightclub and forms a connection with a homicide detective.",81.5,"Lucifer Crime TV Shows TV Comedies Bored with being the Lord of Hell, the devil relocates to Los Angeles, where he opens a nightclub and forms a connection with a homicide detective. Netflix"
Metal Shop Masters,Reality TV,"On this competition show, a group of metal artists torch, cut and weld epic, badass creations from hardened steel. Only one will win a $50,000 prize.",81.5,"Metal Shop Masters Reality TV On this competition show, a group of metal artists torch, cut and weld epic, badass creations from hardened steel. Only one will win a $50,000 prize. Netflix"
Omo Ghetto: the Saga,Action Adventure Comedies Dramas,"Twins are reunited as a good-hearted female gangster and her uptight rich sister take on family, crime, cops and all of the trouble that follows them.",80.0,"Omo Ghetto: the Saga Action Adventure Comedies Dramas Twins are reunited as a good-hearted female gangster and her uptight rich sister take on family, crime, cops and all of the trouble that follows them. Netflix"
Pokémon Master Journeys: The Series,Anime Series Kids' TV,"As Ash battles his way through the World Coronation Series, Goh continues his quest to catch every Pokémon. Together, they're on a journey to adventure!",81.5,"Pokémon Master Journeys: The Series Anime Series Kids' TV As Ash battles his way through the World Coronation Series, Goh continues his quest to catch every Pokémon. Together, they're on a journey to adventure! Netflix"
Prey,International Movies Thrillers,A hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter.,81.5,Prey International Movies Thrillers A hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter. Netflix
Titipo Titipo,Kids' TV Korean TV Shows,Titipo the train is out to prove that he's got what it takes to help the folks of Train Village ride the rails safely and reliably.,78.5,Titipo Titipo Kids' TV Korean TV Shows Titipo the train is out to prove that he's got what it takes to help the folks of Train Village ride the rails safely and reliably. Netflix
Blood Brothers: Malcolm X & Muhammad Ali,Documentaries Sports Movies,"From a chance meeting to a tragic fallout, Malcolm X and Muhammad Ali's extraordinary bond cracks under the weight of distrust and shifting ideals.",81.5,"Blood Brothers: Malcolm X & Muhammad Ali Documentaries Sports Movies From a chance meeting to a tragic fallout, Malcolm X and Muhammad Ali's extraordinary bond cracks under the weight of distrust and shifting ideals. Netflix"
