title,artist,genre,mood,audio_features,release_year,description,combined_features
Thunderstruck,AC/DC,Rock,energetic,{},,Thunderstruck by AC/DC - Rock,Thunderstruck AC/DC Rock Thunderstruck by AC/DC - Rock
Welcome to the Jungle,Guns N' Roses,Rock,energetic,{},,Welcome to the Jungle by Guns N' Roses - Rock,Welcome to the Jungle Guns N' Roses Rock Welcome to the Jungle by Guns N' Roses - Rock
Power,Kanye West,Hip Hop,energetic,{},,Power by Kanye West - Hip Hop,Power Kanye West Hip Hop Power by Kanye West - Hip Hop
Sandstorm,Darude,Electronic,energetic,{},,Sandstorm by Darude - Electronic,Sandstorm Darude Electronic Sandstorm by Darude - Electronic
Titanium,David Guetta ft. Sia,EDM,energetic,{},,Titanium by David Guetta ft. Sia - EDM,Titanium David Guetta ft. Sia EDM Titanium by David Guetta ft. Sia - EDM
Levels,Avicii,EDM,energetic,{},,Levels by Avicii - EDM,Levels Avicii EDM Levels by Avicii - EDM
Pump It,The Black Eyed Peas,Hip Hop,energetic,{},,Pump It by The Black Eyed Peas - Hip Hop,Pump It The Black Eyed Peas Hip Hop Pump It by The Black Eyed Peas - Hip Hop
Weightless,Marconi Union,Ambient,chill,{},,Weightless by Marconi Union - Ambient,Weightless Marconi Union Ambient Weightless by Marconi Union - Ambient
Clair de Lune,Debussy,Classical,chill,{},,Clair de Lune by Debussy - Classical,Clair de Lune Debussy Classical Clair de Lune by Debussy - Classical
River Flows in You,Yiruma,Classical,chill,{},,River Flows in You by Yiruma - Classical,River Flows in You Yiruma Classical River Flows in You by Yiruma - Classical
Sunset Lover,Petit Biscuit,Electronic,chill,{},,Sunset Lover by Petit Biscuit - Electronic,Sunset Lover Petit Biscuit Electronic Sunset Lover by Petit Biscuit - Electronic
Intro,The xx,Indie,chill,{},,Intro by The xx - Indie,Intro The xx Indie Intro by The xx - Indie
Midnight City,M83,Electronic,chill,{},,Midnight City by M83 - Electronic,Midnight City M83 Electronic Midnight City by M83 - Electronic
Electric Feel,MGMT,Indie,chill,{},,Electric Feel by MGMT - Indie,Electric Feel MGMT Indie Electric Feel by MGMT - Indie
Dreams,Fleetwood Mac,Rock,chill,{},,Dreams by Fleetwood Mac - Rock,Dreams Fleetwood Mac Rock Dreams by Fleetwood Mac - Rock
Pink + White,Frank Ocean,R&B,chill,{},,Pink + White by Frank Ocean - R&B,Pink + White Frank Ocean R&B Pink + White by Frank Ocean - R&B
The Less I Know the Better,Tame Impala,Psychedelic,chill,{},,The Less I Know the Better by Tame Impala - Psychedelic,The Less I Know the Better Tame Impala Psychedelic The Less I Know the Better by Tame Impala - Psychedelic
Perfect,Ed Sheeran,Pop,romantic,{},,Perfect by Ed Sheeran - Pop,Perfect Ed Sheeran Pop Perfect by Ed Sheeran - Pop
All of Me,John Legend,R&B,romantic,{},,All of Me by John Legend - R&B,All of Me John Legend R&B All of Me by John Legend - R&B
Thinking Out Loud,Ed Sheeran,Pop,romantic,{},,Thinking Out Loud by Ed Sheeran - Pop,Thinking Out Loud Ed Sheeran Pop Thinking Out Loud by Ed Sheeran - Pop
A Thousand Years,Christina Perri,Pop,romantic,{},,A Thousand Years by Christina Perri - Pop,A Thousand Years Christina Perri Pop A Thousand Years by Christina Perri - Pop
Make You Feel My Love,Adele,Pop,romantic,{},,Make You Feel My Love by Adele - Pop,Make You Feel My Love Adele Pop Make You Feel My Love by Adele - Pop
Unchained Melody,The Righteous Brothers,Soul,romantic,{},,Unchained Melody by The Righteous Brothers - Soul,Unchained Melody The Righteous Brothers Soul Unchained Melody by The Righteous Brothers - Soul
At Last,Etta James,Soul,romantic,{},,At Last by Etta James - Soul,At Last Etta James Soul At Last by Etta James - Soul
Can't Help Falling in Love,Elvis Presley,Rock,romantic,{},,Can't Help Falling in Love by Elvis Presley - Rock,Can't Help Falling in Love Elvis Presley Rock Can't Help Falling in Love by Elvis Presley - Rock
Your Song,Elton John,Pop,romantic,{},,Your Song by Elton John - Pop,Your Song Elton John Pop Your Song by Elton John - Pop
Endless Love,Diana Ross & Lionel Richie,R&B,romantic,{},,Endless Love by Diana Ross & Lionel Richie - R&B,Endless Love Diana Ross & Lionel Richie R&B Endless Love by Diana Ross & Lionel Richie - R&B
Blinding Lights,The Weeknd,Synth Pop,party,{},,Blinding Lights by The Weeknd - Synth Pop,Blinding Lights The Weeknd Synth Pop Blinding Lights by The Weeknd - Synth Pop
Levitating,Dua Lipa,Pop,party,{},,Levitating by Dua Lipa - Pop,Levitating Dua Lipa Pop Levitating by Dua Lipa - Pop
Get Lucky,Daft Punk,Funk,party,{},,Get Lucky by Daft Punk - Funk,Get Lucky Daft Punk Funk Get Lucky by Daft Punk - Funk
One More Time,Daft Punk,Electronic,party,{},,One More Time by Daft Punk - Electronic,One More Time Daft Punk Electronic One More Time by Daft Punk - Electronic
Yeah!,Usher,R&B,party,{},,Yeah! by Usher - R&B,Yeah! Usher R&B Yeah! by Usher - R&B
I Gotta Feeling,The Black Eyed Peas,Pop,party,{},,I Gotta Feeling by The Black Eyed Peas - Pop,I Gotta Feeling The Black Eyed Peas Pop I Gotta Feeling by The Black Eyed Peas - Pop
Dancing Queen,ABBA,Pop,party,{},,Dancing Queen by ABBA - Pop,Dancing Queen ABBA Pop Dancing Queen by ABBA - Pop
Stayin' Alive,Bee Gees,Disco,party,{},,Stayin' Alive by Bee Gees - Disco,Stayin' Alive Bee Gees Disco Stayin' Alive by Bee Gees - Disco
Billie Jean,Michael Jackson,Pop,party,{},,Billie Jean by Michael Jackson - Pop,Billie Jean Michael Jackson Pop Billie Jean by Michael Jackson - Pop
24K Magic,Bruno Mars,Funk,party,{},,24K Magic by Bruno Mars - Funk,24K Magic Bruno Mars Funk 24K Magic by Bruno Mars - Funk
Kal Ho Naa Ho,Sonu Nigam,Bollywood,happy,{},,Kal Ho Naa Ho by Sonu Nigam - Bollywood,Kal Ho Naa Ho Sonu Nigam Bollywood Kal Ho Naa Ho by Sonu Nigam - Bollywood
Chaiyya Chaiyya,Sukhwinder Singh,Bollywood,happy,{},,Chaiyya Chaiyya by Sukhwinder Singh - Bollywood,Chaiyya Chaiyya Sukhwinder Singh Bollywood Chaiyya Chaiyya by Sukhwinder Singh - Bollywood
Dil Chahta Hai,Shankar Mahadevan,Bollywood,happy,{},,Dil Chahta Hai by Shankar Mahadevan - Bollywood,Dil Chahta Hai Shankar Mahadevan Bollywood Dil Chahta Hai by Shankar Mahadevan - Bollywood
Masti,Mika Singh,Bhangra,happy,{},,Masti by Mika Singh - Bhangra,Masti Mika Singh Bhangra Masti by Mika Singh - Bhangra
Badtameez Dil,Benny Dayal,Bollywood,happy,{},,Badtameez Dil by Benny Dayal - Bollywood,Badtameez Dil Benny Dayal Bollywood Badtameez Dil by Benny Dayal - Bollywood
Tum Hi Ho,Arijit Singh,Bollywood,romantic,{},,Tum Hi Ho by Arijit Singh - Bollywood,Tum Hi Ho Arijit Singh Bollywood Tum Hi Ho by Arijit Singh - Bollywood
Raabta,Shreya Ghoshal,Bollywood,romantic,{},,Raabta by Shreya Ghoshal - Bollywood,Raabta Shreya Ghoshal Bollywood Raabta by Shreya Ghoshal - Bollywood
Ae Dil Hai Mushkil,Arijit Singh,Bollywood,romantic,{},,Ae Dil Hai Mushkil by Arijit Singh - Bollywood,Ae Dil Hai Mushkil Arijit Singh Bollywood Ae Dil Hai Mushkil by Arijit Singh - Bollywood
Pehla Nasha,Udit Narayan,Bollywood,romantic,{},,Pehla Nasha by Udit Narayan - Bollywood,Pehla Nasha Udit Narayan Bollywood Pehla Nasha by Udit Narayan - Bollywood
Tujh Mein Rab Dikhta Hai,Shreya Ghoshal,Bollywood,romantic,{},,Tujh Mein Rab Dikhta Hai by Shreya Ghoshal - Bollywood,Tujh Mein Rab Dikhta Hai Shreya Ghoshal Bollywood Tujh Mein Rab Dikhta Hai by Shreya Ghoshal - Bollywood
Agar Tum Saath Ho,Alka Yagnik,Bollywood,sad,{},,Agar Tum Saath Ho by Alka Yagnik - Bollywood,Agar Tum Saath Ho Alka Yagnik Bollywood Agar Tum Saath Ho by Alka Yagnik - Bollywood
Hamari Adhuri Kahani,Arijit Singh,Bollywood,sad,{},,Hamari Adhuri Kahani by Arijit Singh - Bollywood,Hamari Adhuri Kahani Arijit Singh Bollywood Hamari Adhuri Kahani by Arijit Singh - Bollywood
Kabhi Jo Badal Barse,Arijit Singh,Bollywood,sad,{},,Kabhi Jo Badal Barse by Arijit Singh - Bollywood,Kabhi Jo Badal Barse Arijit Singh Bollywood Kabhi Jo Badal Barse by Arijit Singh - Bollywood
Phir Le Aya Dil,Arijit Singh,Bollywood,sad,{},,Phir Le Aya Dil by Arijit Singh - Bollywood,Phir Le Aya Dil Arijit Singh Bollywood Phir Le Aya Dil by Arijit Singh - Bollywood
Kun Faya Kun,A.R. Rahman,Sufi,sad,{},,Kun Faya Kun by A.R. Rahman - Sufi,Kun Faya Kun A.R. Rahman Sufi Kun Faya Kun by A.R. Rahman - Sufi
Ghungroo,Arijit Singh,Bollywood,party,{},,Ghungroo by Arijit Singh - Bollywood,Ghungroo Arijit Singh Bollywood Ghungroo by Arijit Singh - Bollywood
London Thumakda,Labh Janjua,Bhangra,party,{},,London Thumakda by Labh Janjua - Bhangra,London Thumakda Labh Janjua Bhangra London Thumakda by Labh Janjua - Bhangra
Desi Girl,Shankar Mahadevan,Bollywood,party,{},,Desi Girl by Shankar Mahadevan - Bollywood,Desi Girl Shankar Mahadevan Bollywood Desi Girl by Shankar Mahadevan - Bollywood
Sheila Ki Jawani,Sunidhi Chauhan,Bollywood,party,{},,Sheila Ki Jawani by Sunidhi Chauhan - Bollywood,Sheila Ki Jawani Sunidhi Chauhan Bollywood Sheila Ki Jawani by Sunidhi Chauhan - Bollywood
Gallan Goodiyaan,Yashita Sharma,Bollywood,party,{},,Gallan Goodiyaan by Yashita Sharma - Bollywood,Gallan Goodiyaan Yashita Sharma Bollywood Gallan Goodiyaan by Yashita Sharma - Bollywood
